episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
220, 2345.421304764226, 1, 19.97767785997712, 40, 14359,                                         14359, 35.637088775634766, 138.59555053710938
221, 1269.0870224237442, 1, 53.5722980130231, 107, 14466,                                         14466, 43.701961517333984, 139.0890655517578
222, 2423.3423142135143, 1, 15.958411315979902, 32, 14498,                                         14498, 38.38249588012695, 136.5344696044922
223, 1414.981834039092, 1, 49.06843967002351, 98, 14596,                                         14596, 44.608726501464844, 138.78297424316406
224, -3220.2257251143456, 2, 59.461883911979385, 119, 14715,                                         14715, 41.73709487915039, 138.7869873046875
225, 2196.6287724748254, 1, 26.023329415998887, 52, 14767,                                         14767, 44.77248764038086, 138.94284057617188
226, -2327.333542048931, 2, 25.11853767899447, 50, 14817,                                         14817, 46.08384704589844, 140.5254669189453
227, 2182.20759922266, 1, 40.433706918003736, 81, 14898,                                         14898, 37.127967834472656, 139.50083923339844
228, -2423.150550365448, 2, 16.003147940995404, 32, 14930,                                         14930, 43.805912017822266, 138.6842041015625
229, 2441.5926022827625, 1, 16.531538792012725, 33, 14963,                                         14963, 46.90142059326172, 138.82907104492188
230, -3358.7889246940613, 2, 31.0519550020108, 62, 15025,                                         15025, 42.04176712036133, 139.2700653076172
231, -2439.217928290367, 2, 24.51492670798325, 49, 15074,                                         15074, 41.91677474975586, 138.25257873535156
232, 2271.080950498581, 1, 24.997261127020465, 50, 15124,                                         15124, 43.951812744140625, 140.1156463623047
233, 2006.0671782493591, 1, 16.935044506011764, 34, 15158,                                         15158, 42.459930419921875, 140.92532348632812
234, 1941.6783965826035, 1, 53.445763277006336, 107, 15265,                                         15265, 39.13895797729492, 140.64830017089844
235, -3465.1947474479675, 2, 18.566632762987865, 37, 15302,                                         15302, 39.32825469970703, 141.40447998046875
236, 2350.598975405097, 1, 27.483029877010267, 55, 15357,                                         15357, 35.6241569519043, 138.36155700683594
237, 1534.4936541616917, 1, 39.95215686497977, 80, 15437,                                         15437, 44.415626525878906, 140.9286346435547
238, 2317.5078584104776, 1, 40.5784975340066, 81, 15518,                                         15518, 43.99571990966797, 140.51763916015625
239, 1654.1851398944855, 1, 52.05463429397787, 104, 15622,                                         15622, 45.81524658203125, 140.72708129882812
240, -2321.4845650196075, 2, 15.501883049990283, 31, 15653,                                         15653, 41.8734016418457, 140.56370544433594
241, 2440.389160886407, 1, 16.008803756005364, 32, 15685,                                         15685, 48.754005432128906, 140.77891540527344
242, 1795.1366198807955, 1, 18.553140226984397, 37, 15722,                                         15722, 46.19951629638672, 138.08413696289062
243, -2842.144304037094, 2, 35.60165479200077, 71, 15793,                                         15793, 39.001121520996094, 143.0658416748047
244, -2554.275776743889, 2, 15.157634248025715, 30, 15823,                                         15823, 40.11994171142578, 141.8947296142578
245, 2399.360971212387, 1, 20.031396573001985, 40, 15863,                                         15863, 46.307334899902344, 142.1881561279297
246, 2106.6245855093002, 1, 33.956131017999724, 68, 15931,                                         15931, 41.81148147583008, 140.20980834960938
247, 2377.157800555229, 1, 24.493876083986834, 49, 15980,                                         15980, 46.71183776855469, 142.8794403076172
248, -735.4393763542175, 5, 25.476128283014987, 51, 16031,                                         16031, 50.41630172729492, 139.7645721435547
249, 2299.7466916441917, 1, 20.464615775999846, 41, 16072,                                         16072, 39.29885482788086, 141.8596649169922
250, 2385.5346805622103, 1, 22.077971857972443, 44, 16116,                                         16116, 47.10188293457031, 141.75314331054688
251, -2589.551207780838, 2, 25.08789204401546, 50, 16166,                                         16166, 45.759613037109375, 141.39622497558594
252, -2675.6237872838974, 2, 22.439908747997833, 45, 16211,                                         16211, 43.22662353515625, 142.330078125
253, 2427.3943424224854, 1, 20.015785492985742, 40, 16251,                                         16251, 36.79694366455078, 142.82656860351562
